Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Ole Miss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,37,42,68,208,9,17,0,0,0,0,0,0,0,0,0,0
Oregon State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penn State,1257,1343,1256,1364,1328,1379,1454,1483,1520,1221,817,912,956,970,1006,1134
Pittsburgh,45,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purdue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rutgers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Diego State,18,12,19,141,315,371,516,39,0,6,18,11,24,86,50,1
San José State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,0,8,27,0,6,0,3,19,9,53,6,33,69,6,4,35
South Florida,247,257,249,446,522,562,622,716,730,193,306,361,388,128,126,285
Southern Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanford,732,839,372,11,12,18,107,286,367,494,58,206,383,640,607,354
Syracuse,3,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TCU,58,80,271,602,985,1057,1229,1345,1385,944,1143,814,861,934,807,1013
Temple,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,155,197,219,3,7,0,0,0,0,0,0,0,0,0,0,0
Texas,193,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Texas A&M,46,0,0,0,4,27,14,94,151,4,0,0,8,0,0,0
Texas State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Texas Tech,0,0,0,0,11,0,29,0,0,0,0,0,0,0,0,0
Toledo,1,0,0,0,0,0,0,0,0,10,31,0,0,7,21,0
Troy,6,0,0,0,1,9,10,0,1,3,4,5,4,12,11,40
Tulane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulsa,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UCF,0,3,2,0,13,60,273,439,561,727,854,910,915,957,986,1202
UCLA,1,47,57,0,0,0,0,0,0,0,0,0,0,0,0,0
UMass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNLV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USC,1415,1338,1308,1348,1306,745,818,930,321,560,778,917,976,990,1140,904
UT San Antonio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UTEP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,109,185,182,324,437,503,122,14,0,0,0,0,0,0,0,6
Utah State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanderbilt,0,3,5,92,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0
Virginia Tech,235,502,509,775,877,455,599,701,818,878,555,94,119,297,302,96
Wake Forest,0,0,0,2,15,0,5,0,0,0,0,0,8,0,0,3
Washington,1245,1202,1173,1277,1277,1330,1404,914,931,977,1154,642,735,822,855,706
Washington State,99,192,244,441,574,936,1117,564,636,127,376,587,684,266,310,71
West Virginia,319,56,74,100,184,239,29,144,211,9,120,171,1,0,0,0
Western Kentucky,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Michigan,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,936,963,919,1032,1029,1099,1243,1338,1343,1418,1392,1395,1414,1454,1162,1223
Wyoming,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
